FACILITYID,flood_risk_area_m2,flood_risk_percent
10000701,152886.64447336452,4.374737466517872
10002260,1171502.8562944042,29.866893138289445
10002261,291325.52983765624,8.218109633092341
10006152,NA,NA
10002262,603415.0274402824,11.160697623561655
10000002,1545351.4515856456,44.370213928182864
10000006,57139.11292713928,1.1420957063007062
10006199,12553.754102775036,0.26665921721521124
10000043,343194.3136782202,7.27836778700919
10000023,NA,NA
10000887,5655584.726885434,120.84569407170412
10000974,2194079.907390551,47.922018467234864
10000806,0,0
10000871,610842.8905991721,18.396568941746207
10005219,111293.23866752494,3.041521366950231
10001106,680054.3295013608,17.045641229211498
10001108,27147.79258364833,0.7820470886626163
10006387,1122348.7891089479,32.8222890950857
10000028,554075.5118275163,13.650135447327843
10003595,73499.51717650123,2.0429400480456685
10000336,1213906.434032948,25.867276255216147
10006197,1126685.0937418027,28.421742260037263
10001879,0,0
10006191,251727.09266854337,6.974689040001566
10001102,16679.626142313806,0.4786315028866752
10001445,2078391.384049669,51.36288375959121
10000042,548223.7481675001,14.890827815271509
10006192,618684.1069844579,15.883546530013549
10000033,830802.162844281,24.17125739268045
10002153,532511.70884616906,10.783373001871006
10006205,0,0
10000422,4247913.033154781,88.16647617999888
10000412,2118000.997504316,42.57209466961154
10000411,1667915.2317407532,33.189178534877975
10000369,332091.96192415623,6.8935607473372
10000333,582778.3284882999,12.769413941776705
10001126,0,0
10000334,59239.00676088676,1.1982589810906683
10000392,368132.0397539436,7.451195404213163
10000365,946495.910262972,19.02052688444982
10000368,945330.877376564,19.001472314406225
10004576,1238150.9548425523,26.134896102587835
10004557,2009410.7404793496,43.581552542719024
10000339,10725.31828928131,0.20160615607629018
10004555,198676.77044810302,3.869261931717734
10004575,1358269.6591863954,27.005282216254408
10000395,812195.6347819362,16.35499091195732
10000396,1535941.0037796784,33.18359156119021
10000968,1294960.3079080137,27.841854521994218
10000956,NA,NA
10000561,918108.7272636244,20.26307693969451
10000567,0,0
10000864,1514287.2066873396,31.39156074305071
10000563,254040.2902509518,5.2038101443501334
10000569,618968.3265283996,14.18829212256817
10000577,3436.3188666559886,0.07679423986245043
10000557,0,0
10000586,206899.31231862624,4.639919707214457
10000575,0,0
10000588,349234.0628862328,8.235034477193597
10002233,0,0
10000432,2882535.108535975,57.181066970624364
10004579,1543656.578305744,35.63748330099797
10000585,0,0
10002210,52065.57642419376,1.4400019332446397
10005303,39152.27201268048,0.8247350798185501
10000562,0,0
10002136,1089560.7990316001,27.77892873279766
10004519,237088.47355467462,5.78618842479474
10004534,806951.2975625934,21.224060893501502
10000123,0,0
10000128,0,0
10003694,382513.2017965167,10.151319739882322
10003691,1354434.3084378901,31.31992418622278
10003692,1251136.9464806304,31.908792441078422
10000127,258694.24551828095,6.902992304727032
10001191,0,0
10000124,64167.0793283459,1.3602801112731082
10000126,NA,NA
10001180,468416.6540977453,11.040649004129623
10001063,0,0
